"","id","chosen","Enjoy_R","Helpful_R","GoodListener_R","GoodTeacher_R","Kind_R"
"1","P101","NAO",2,2,1,1,2
"2","P102","Cozmo",2,2,2,1,2
"3","P103","MiRo",3,3,3,1,3
"4","P104","Cozmo",3,2,3,2,3
"5","P105","NAO",2,2,3,2,2
"6","P106","Cozmo",3,3,3,2,3
"7","P107","NAO",3,3,3,3,3
"8","P108","NAO",1,1,2,1,3
"9","P109","NAO",3,3,3,3,3
"10","P110","NAO",3,3,3,3,3
"11","P111","NAO",3,3,3,2,3
"12","P112","NAO",3,2,3,2,3
"13","P113","NAO",3,1,3,2,3
"14","P114","Cozmo",3,2,3,2,3
"15","P116","NAO",3,3,3,2,3
"16","P117","NAO",3,2,3,2,3
"17","P118","Cozmo",3,2,2,2,3
"18","P119","MiRo",3,2,3,2,3
"19","P120","NAO",3,2,3,3,3
"20","P121","Cozmo",2,2,3,2,2
"21","P122","Cozmo",3,3,3,3,3
"22","P123","NAO",3,2,3,2,3
"23","P124","Cozmo",3,3,3,2,3
"24","P125","MiRo",3,2,3,2,3
"25","P126","Cozmo",3,3,3,3,3
"26","P127","Cozmo",3,2,3,2,3
"27","P128","Cozmo",2,3,3,2,2
"28","P129","NAO",3,3,3,2,3
"29","P130","NAO",3,2,3,2,3
